Company	Ticker	Year	Quarter	Rater	Type	Sentiment Score	Decision	Time	Prior Close	Next Day Open	Actual % Change	Actual Direction	Prediction Correct	Position	Net P&L	Notes
Airbnb		2026	Q1	Ben/DeepSeek	LLM	0.37	BUY		140.46	138.12						Tone: confident. Risks: Conflict in the Middle East causing an approximate 100-basis-point headwind to nights; Macroeconomic and geopolitical uncertainty, including tariff uncertainty affecting tr. [Micro=0.50; Blend=0.37] [news]
Airbnb		2025	Q2	Ben/DeepSeek	LLM	0.10	HOLD		130.50	120.38						Tone: confident. Risks: Tougher year-over-year comparisons in Q4 2025 putting pressure on growth rates.; Year-over-year decline in adjusted EBITDA margin expected in Q3 and Q4 2025 due to gr. [Micro=0.15; Blend=0.10] [news]
Airbnb		2025	Q3	Ben/DeepSeek	LLM	0.24	HOLD		120.53	125.50						Tone: confident. Risks: Tougher year-over-year comps in Q4.; One-time $213 million valuation allowance related to Corporate Alternative Minimum Ta. [Micro=0.30; Blend=0.24] [news]
Airbnb		2025	Q4	Ben/DeepSeek	LLM	0.28	BUY		115.96	126.46						Tone: confident. Risks: Travel is influenced by currency, macroeconomic conditions, and global events, which; FX tailwinds expected to fade as 2026 progresses.. [Micro=0.35; Blend=0.28] [news]
Amazon		2026	Q1	Ben/DeepSeek	LLM	0.60	BUY		263.04	273.17						Tone: confident. Risks: Memory component costs have skyrocketed and supply volatility threatens capacity.; Higher transport and fuel costs plus about $1B of LEO expense pressure Q2 margins.. [Micro=0.80; Blend=0.60] [news]
Amazon		2025	Q3	Ben/DeepSeek	LLM	-0.44	SELL		222.86	250.10						Tone: mixed. Risks: AWS margins subject to swings as AI data center depreciation builds; Power flagged as a possible industry bottleneck, with chips a later constraint. [Micro=-0.55; Blend=-0.44] [news]
Amazon		2025	Q4	Ben/DeepSeek	LLM	-0.28	SELL		222.69	202.70						Tone: mixed. Risks: Results may be materially affected by geopolitics, tariffs and supply volatility; AWS margins expected to fluctuate as AI investments depreciate. [Micro=-0.30; Blend=-0.28] [news]
AMD		2026	Q1	Ben/DeepSeek	LLM	0.58	BUY		355.26	409.49						Tone: confident. Risks: Second-half PC and gaming demand pressure from memory and component cost inflation; Supply chain tightness across wafer and back-end capacity. [Micro=0.80; Blend=0.58] [news]
AMD		2025	Q2	Ben/DeepSeek	LLM	-0.37	SELL		174.31	165.05						Tone: cautious. Risks: MI308 China export licenses under review, so no China GPU revenue is assumed.; Embedded faces mixed end-market demand with unfavorable product mix.. [Micro=-0.50; Blend=-0.37] [news]
AMD		2025	Q4	Ben/DeepSeek	LLM	0.63	BUY		242.11	215.00						Tone: confident. Risks: China GPU sales called highly uncertain, with only $100M assumed and no further guida; Semi-custom gaming revenue expected to decline a significant double-digit percentage. [Micro=0.75; Blend=0.63] [news]
Apple		2026	Q1	Ben/DeepSeek	LLM	0.24	HOLD		257.80	254.70						Tone: confident. Risks: Supply constraints on advanced nodes (3nm) for SoCs, making it difficult to predict w; Growing memory component costs impacting gross margin, expected to be a bit more of a. [Micro=0.30; Blend=0.24] [news]
Apple		2025	Q3	Ben/DeepSeek	LLM	0.08	HOLD		206.75	210.04						Tone: confident. Risks: Approximately $800 million in tariff-related costs incurred in the June quarter, with; iPad revenue down 8% year-over-year due to difficult compare.. [Micro=0.10; Blend=0.08] [news]
Apple		2025	Q4	Ben/DeepSeek	LLM	0.32	BUY		270.63	276.21						Tone: confident. Risks: Supply constraints on several iPhone 16 and iPhone 17 models limiting device availabi; Tariff-related costs: $1.1 billion in Q4, projected $1.4 billion for December quarter. [Micro=0.35; Blend=0.32] [news]
CVS Health		2026	Q1	Ben/DeepSeek	LLM	0.41	BUY		86.86	87.00						Tone: confident. Risks: Medicare Advantage rate notice insufficient to offset underlying medical cost trends.; Continued pharmacy client price improvements pressuring Health Services segment margi. [Micro=0.55; Blend=0.41] [news]
Charles Schwab		2025	Q1	Ben/DeepSeek	LLM	0.24	HOLD		74.51	76.45						Tone: confident. Risks: Lower expected future path of interest rates (potential incremental cuts mostly in ba; Lower equity markets.. [Micro=0.30; Blend=0.24] [news]
Charles Schwab		2026	Q1	Ben/DeepSeek	LLM	0.18	HOLD		99.91	95.42						Tone: confident. Risks: Continued market volatility could influence client cash allocations.; Typical seasonal drawdown in client cash due to tax payments in April.. [Micro=0.30; Blend=0.18] [news]
Charles Schwab		2025	Q2	Ben/DeepSeek	LLM	0.28	BUY		91.93	94.50						Tone: confident. Risks: Potential pullback in client trading volumes in the second half (guidance assumes som; Macro factors and market sentiment could influence client cash allocations and tradin. [Micro=0.30; Blend=0.28] [news]
Charles Schwab		2025	Q3	Ben/DeepSeek	LLM	0.21	HOLD		93.41	93.85						Tone: confident. Risks: Potential shifts in sentiment and engagement levels in the evolving macroeconomic env; The last couple of weeks remind us the environment can shift quickly.. [Micro=0.30; Blend=0.21] [news]
Charles Schwab		2025	Q4	Ben/DeepSeek	LLM	0.36	BUY		100.29	100.63						Tone: confident. Risks: Scenario assumes 225 basis points in Fed funds rate cuts and 6.5% equity market retur; 2026 scenario allows for a slight pullback in trading volumes to roughly 7.4 million. [Micro=0.50; Blend=0.36] [news]
Citigroup		2025	Q1	Ben/DeepSeek	LLM	0.15	HOLD		62.40	61.17						Tone: confident. Risks: Deterioration in the macroeconomic outlook driving an ACL build; Higher net credit losses in card portfolios in USPB. [Micro=0.15; Blend=0.15] [news]
Citigroup		2025	Q2	Ben/DeepSeek	LLM	0.16	HOLD		88.71	89.45						Tone: confident. Risks: Higher cost of credit: 'Citigroup cost of credit of $2.9 billion increased 16%, drive; Non-accrual loans increased 49% YoY to $3.4 billion, driven by idiosyncratic downgrad. [Micro=0.15; Blend=0.16] [news]
Citigroup		2025	Q3	Ben/DeepSeek	LLM	0.24	HOLD		98.27	99.60						Tone: confident. Risks: Goodwill impairment of $726 million related to the Banamex transaction, recorded in O; Corporate non-accrual loans increased 119% YoY to $2.1 billion, driven by idiosyncrat. [Micro=0.30; Blend=0.24] [news]
Citigroup		2025	Q4	Ben/DeepSeek	LLM	0.24	HOLD		111.30	112.73						Tone: confident. Risks: Russia HFS accounting treatment resulted in a ~$1.2 billion pre-tax loss ($1.1 billio; Ongoing regulatory consent order with no stated resolution date; timing of closure is. [Micro=0.30; Blend=0.24] [news]
Coca-Cola		2026	Q1	Ben/DeepSeek	LLM	0.28	BUY		77.85	77.87						Tone: confident. Risks: Geopolitical tensions and regional conflicts (e.g., Middle East) causing volume decli; Commodity pressures in tea and coffee expected to persist through the year.. [Micro=0.30; Blend=0.28] [news]
Coca-Cola		2025	Q2	Ben/DeepSeek	LLM	0.21	HOLD		67.74	67.74						Tone: confident. Risks: Currency headwinds: 1%-2% headwind to comparable net revenues and 5% headwind to comp; Volume decline: Global unit case volume declined 1% in Q2, impacted by adverse weathe. [Micro=0.30; Blend=0.21] [news]
Coca-Cola		2025	Q4	Ben/DeepSeek	LLM	0.16	HOLD		75.80	75.87						Tone: confident. Risks: New excise tax in Mexico implemented at the start of 2026, expected volume pressure d; Consumer demand in major markets like China and India did not recover to pre-pandemic. [Micro=0.15; Blend=0.16] [news]
Coinbase		2026	Q1	Ben/DeepSeek	LLM	-0.24	HOLD		192.96	186.05						Tone: cautious. Risks: Total crypto market cap and trading volumes both fell more than 20% quarter over quar; Institutional transaction revenue dropped 27% as low volatility cut hedging demand at. [Micro=-0.35; Blend=-0.24] [news]
Coinbase		2025	Q3	Ben/DeepSeek	LLM	0.52	BUY		328.51	336.00						Tone: confident. Risks: A multi-quarter regulatory roadmap is still needed to bring US options products to ma; New exchange competitors are entering, with competitive dynamics acknowledged in Octo. [Micro=0.60; Blend=0.52] [news]
Coinbase		2025	Q4	Ben/DeepSeek	LLM	-0.04	HOLD		141.09	153.70						Tone: mixed. Risks: Crypto market cap fell 11% in the quarter and the softness is reflected in the subscr; Brief platform interruptions affected core buy, sell and transfer functions.. [Micro=-0.10; Blend=-0.04] [news]
Eli Lilly		2026	Q1	Ben/DeepSeek	LLM	0.65	BUY		849.75	897.24						Tone: confident. Risks: Pricing headwinds expected in the low to mid teens for the full year.; Loss of Medicaid access in some states dented Q1 Zepbound prescription growth.. [Micro=0.85; Blend=0.65] [news]
Eli Lilly		2025	Q3	Ben/DeepSeek	LLM	-0.28	SELL		809.59	833.44						Tone: mixed. Risks: US realized prices fell 15% in the quarter.; The CVS formulary switch created patient and physician disruption, though the Zepboun. [Micro=-0.35; Blend=-0.28] [news]
Eli Lilly		2025	Q4	Ben/DeepSeek	LLM	0.58	BUY		1000.07	1071.48						Tone: confident. Risks: Pricing expected to drag growth by a low to mid-teens percentage, with US realized pr; California and other states removing Medicaid obesity coverage in 2026.. [Micro=0.80; Blend=0.58] [news]
Goldman Sachs		2025	Q1	Ben/DeepSeek	LLM	0.05	HOLD		482.28	497.46						Tone: mixed. Risks: Prospect of recession has increased with growing indications of economic slowing arou; Uncertainty around trade policy and the path forward constraining client decisions.. [Micro=0.10; Blend=0.05] [news]
Goldman Sachs		2026	Q1	Ben/DeepSeek	LLM	0.15	HOLD		903.82	871.71						Tone: confident. Risks: Conflict in the Middle East slowing IPO activity, particularly in March.; NIM compression in private banking and lending expected to persist through 2026.. [Micro=0.15; Blend=0.15] [news]
Goldman Sachs		2025	Q2	Ben/DeepSeek	LLM	0.21	HOLD		688.65	694.52						Tone: confident. Risks: Modest net losses in private portfolio driven by markdowns in relation to certain rea; Provision for credit losses of $384 million primarily from charge-offs in the credit. [Micro=0.30; Blend=0.21] [news]
Goldman Sachs		2026	Q2	Ben/DeepSeek	LLM	0.35	BUY		1045.91	1085.00						Tone: confident. Risks: Risks can emerge quickly and drive periods of disruption and volatility across market; Sponsor volumes are still subdued versus historical averages.. [Micro=0.35; Blend=0.35]
