# Information set comparison: human arm by information set vs model arm section ablation
# Generated: 2026-08-15
# Source (human): data/workbook/Master_Data_CORRECTED_2026-08-14.xlsx, Human_Data_Entry sheet
# Source (model Set A, N=119): outputs/global/summary/section_ablation_summary.csv, run 20260812T131110Z
# Source (model Set B, N=56): outputs/global/summary/section_ablation_extension_summary.csv, run 20260813T234207Z
# Source (model paired diffs): outputs/global/summary/section_ablation_paired_diffs.csv
# Source (model cost): outputs/global/summary/section_ablation_cost_per_correct.csv
#
# Definitions:
#   coverage_accuracy = n_correct / n_graded
#     where n_graded = rows with |actual_overnight_return| > 0.02
#     and n_correct = rows where decision is BUY and outcome is UP, or decision is SELL and outcome is DOWN
#     (outcome direction derived from re-priced return where available, else original return)
#     Outcome UP = ret > 0.02, Outcome DOWN = ret < -0.02
#   selectivity_accuracy = n_correct / n_calls
#     where n_calls = rows where decision is BUY or SELL (regardless of outcome)
#     n_correct = same as coverage_accuracy numerator
#   coverage_floor = max(n_graded_UP, n_graded_DOWN) / n_graded  (majority-class baseline)
#   selectivity_floor = max(called_UP, called_DOWN) / n_calls  (majority-class baseline for calls)
#   mean_net_per_trade = mean of re-priced Net P&L (or original) for rows where decision is BUY or SELL
#     Net P&L: BUY -> ret - 0.001, SELL -> -ret - 0.001, HOLD -> 0 (10bps round-trip cost)
#   Model selectivity_accuracy = correct / trades from the section ablation files
#     where trades = BUY+SELL calls (including flat outcomes), correct = graded correct (matched direction AND |ret|>2%)
#
# Grading band: ±2% raw overnight return (pre-registered)
# Suppression threshold: coverage suppressed if n_graded < 10; selectivity suppressed if n_calls < 10
#
# IMPORTANT: Section-level reads (transcript only, qanda, financials, guidance, presentation only,
#   press release document only) are a DIFFERENT experiment from full-document reads.
#   They cover different events, different raters, and different reading sessions.
#   Do not pool them with the full-document group or with each other for accuracy estimation.
#
# IMPORTANT: Human and model sessions cover DIFFERENT events.
#   The cross-arm comparison (human vs model) is of the PATTERN (flat vs differentiated),
#   not a direct head-to-head on the same events.
#
# Column definitions:
#   information_set: label for the information set read
#   arm: human or model
#   model_arm_name: model arm label where applicable (else blank)
#   model_set: which model event set (Set_A_N119, Set_B_N56, or blank)
#   n_readings: total rows in the human arm for this information set
#   mean_time_mins: mean reading time in minutes (human arm only)
#   median_time_mins: median reading time in minutes (human arm only)
#   total_time_mins: total reading time in minutes (human arm only)
#   buy_share: fraction of decisions that are BUY
#   hold_share: fraction of decisions that are HOLD
#   sell_share: fraction of decisions that are SELL
#   n_graded: rows with |ret| > 2% (human) or n_events (model)
#   n_correct_coverage: correct directional predictions among graded events
#   coverage_accuracy: n_correct_coverage / n_graded (suppressed if n_graded < 10)
#   coverage_floor: majority-class baseline for coverage denominator
#   n_calls: BUY+SELL decisions (human) or trades (model)
#   n_correct_selectivity: correct directional predictions among called/traded events (graded outcomes only)
#   selectivity_accuracy: n_correct_selectivity / n_calls (suppressed if n_calls < 10)
#   selectivity_floor: majority-class baseline for selectivity denominator
#   n_trades: BUY+SELL calls with non-None net P&L
#   mean_net_per_trade: mean net P&L per trade (suppressed if n_trades < 10)
#   suppressed: which metrics are suppressed due to small n
#   notes: any additional notes

information_set,arm,model_arm_name,model_set,n_readings,mean_time_mins,median_time_mins,total_time_mins,buy_share,hold_share,sell_share,n_graded,n_correct_coverage,coverage_accuracy,coverage_floor,n_calls,n_correct_selectivity,selectivity_accuracy,selectivity_floor,n_trades,mean_net_per_trade,suppressed,notes
full,human,,,190,29.8,25.0,5668,0.595,0.284,0.121,97,39,0.402,0.567,136,39,0.287,0.566,136,0.000113,none,Re-priced returns used where available (295/420 rows)
transcript only,human,,,94,33.5,30.0,3145,0.596,0.234,0.170,65,28,0.431,0.569,72,28,0.389,0.597,72,0.004375,none,No direct model equivalent; model never ran a transcript-only arm
financials,human,,,32,20.3,21.5,651,0.531,0.250,0.219,21,7,0.333,0.619,24,7,0.292,0.583,24,-0.010850,none,No direct model equivalent; model cannot mechanically isolate financial tables
guidance,human,,,29,18.7,20.0,542,0.517,0.276,0.207,20,3,0.150,0.550,21,3,0.143,0.571,21,-0.039428,none,No direct model equivalent; model cannot isolate a guidance-only section
qanda,human,,,33,29.4,30.0,971,0.364,0.394,0.242,22,8,0.364,0.591,20,8,0.400,0.650,20,-0.004765,none,Comparable to model qa_only arm; different events
presentation only,human,,,23,19.8,22.0,456,0.783,0.043,0.174,14,9,0.643,0.571,22,9,0.409,0.636,22,0.030958,none,No direct model equivalent; n_graded=14 (borderline); interpret with caution
press release document only,human,,,19,15.0,14.0,285,0.368,0.421,0.211,15,7,0.467,0.533,11,7,0.636,0.636,11,0.055526,none,Comparable to model press_release arm; different events; n_calls=11 (borderline)
full_bundle,model,full_bundle,Set_A_N119,119,,,,,,,,87,32,0.368,,87,32,0.368,,,none,Selectivity = correct/trades (graded correct / all BUY+SELL calls including flat outcomes)
full_bundle,model,full_bundle,Set_B_N56,56,,,,,,,,28,10,0.357,,28,10,0.357,,,none,Set B (extension events); same arm definition as Set A
press_release,model,press_release,Set_A_N119,119,,,,,,,,66,24,0.364,,66,24,0.364,,,none,Model press_release arm; different events from human press release doc only
press_release,model,press_release,Set_B_N56,56,,,,,,,,14,5,0.357,,14,5,0.357,,,none,Set B (extension events)
qa_only,model,qa_only,Set_A_N119,119,,,,,,,,67,26,0.388,,67,26,0.388,,,none,Model qa_only arm; different events from human qanda
qa_only,model,qa_only,Set_B_N56,56,,,,,,,,25,8,0.320,,25,8,0.320,,,none,Set B (extension events)
prepared_remarks,model,prepared_remarks,Set_A_N119,119,,,,,,,,77,26,0.338,,77,26,0.338,,,none,No direct human equivalent; model prepared_remarks = transcript minus Q&A
prepared_remarks,model,prepared_remarks,Set_B_N56,56,,,,,,,,29,11,0.379,,29,11,0.379,,,none,Set B (extension events)
