# Appendix G: the H2 statistical chain (backs Sections 3.4, 4.2 and 5).
# Generated by experiments/human_arm_significance.py.
# Sources: Master_Data_Phase_3.ods (Human_Data_Entry, 420 rows) and the
# N=233 clean event set from experiments/walkforward_validation._load_clean_events().
# Deployed weights micro 0.8 / macro 0.2, thresholds +0.2 / -0.1. Seed 20260709.
# Model decisions are computed fresh at those weights; the workbook's own LLM Decision
# column is stale and is used only as a flag for whether an event was paired at all.
# Human net P&L uses the Re-priced column where present (it carries the release_date
# anchor correction for the human arm), falling back to the original column otherwise.
# Return-gap resampling and the permutation test both operate on WHOLE ISO-WEEK
# CLUSTERS, since same-week reporters share a market factor.
# Cohen's kappa is a 3x3 BUY/HOLD/SELL DECISION-agreement statistic, not correctness.
section,metric,value
model_in_sample,n_clean_events,232
model_in_sample,n_trades,168
model_in_sample,n_graded,109
model_in_sample,n_correct,68
model_in_sample,accuracy,0.623853
model_in_sample,mean_net_per_trade_pct,1.796302
human_returns,n_frozen_traded_rows,223
human_returns,n_repriced,205
human_returns,n_fallback_to_original,18
human_returns,mean_net_repriced_only_pct,-0.06494
human_returns,mean_net_with_fallback_pct,-0.089161
human_returns,mean_net_rater_weighted_pct,0.028656
human_returns,per_rater_mean_pct.Abdul,1.8972
human_returns,per_rater_mean_pct.Anna,-0.7047
human_returns,per_rater_mean_pct.David,-4.4082
human_returns,per_rater_mean_pct.Dragos,0.7085
human_returns,per_rater_mean_pct.Meriem,2.7139
human_returns,per_rater_mean_pct.Nigel,-0.0347
human_returns,per_rater_n.Abdul,44
human_returns,per_rater_n.Anna,35
human_returns,per_rater_n.David,38
human_returns,per_rater_n.Dragos,32
human_returns,per_rater_n.Meriem,25
human_returns,per_rater_n.Nigel,49
paired_subset,n_paired_events,170
paired_subset,model_correct,43
paired_subset,model_graded,69
paired_subset,model_accuracy,0.623188
paired_subset,human_correct,44
paired_subset,human_graded,78
paired_subset,human_accuracy,0.564103
paired_subset,gap_pp,5.908584
paired_subset,z,0.727409
paired_subset,p_value,0.466975
paired_subset,mde_pp,26.638239
paired_subset,cohens_kappa,0.139123
paired_subset,kappa_ci_low,0.050691
paired_subset,kappa_ci_high,0.2262
paired_subset,model_hold_rate,0.311765
paired_subset,human_hold_rate,0.235294
paired_subset,hold_rate_gap_pp,7.647059
accuracy_conventions,n_paired_events,170
accuracy_conventions,n_graded_total,97
accuracy_conventions,n_ungraded_inside_band,73
accuracy_conventions,model_correct_on_graded,43
accuracy_conventions,human_correct_on_graded,44
accuracy_conventions,model_holds_on_ungraded,25
accuracy_conventions,human_holds_on_ungraded,21
accuracy_conventions,coverage_accuracy_model,0.443299
accuracy_conventions,coverage_accuracy_human,0.453608
accuracy_conventions,coverage_accuracy_gap_pp,-1.030928
accuracy_conventions,three_way_accuracy_model,0.4
accuracy_conventions,three_way_accuracy_human,0.382353
accuracy_conventions,three_way_accuracy_gap_pp,1.764706
accuracy_conventions,decomposition_hold_mechanism_pp,2.352941
accuracy_conventions,decomposition_graded_judgement_pp,-0.588235
both_traded_subset,n_events,85
both_traded_subset,n_agreeing_on_direction,69
both_traded_subset,model_mean_pct,1.190632
both_traded_subset,human_mean_pct,1.219872
both_traded_subset,mean_difference_pp,-0.02924
both_traded_subset,ci_low_pp,-0.694905
both_traded_subset,ci_high_pp,0.620184
both_traded_subset,clustered_ci_low_pp,-1.196218
both_traded_subset,clustered_ci_high_pp,1.151609
both_traded_subset,mde_pp,1.339321
h2_return_gap.n205_repriced_only,n_model,168
h2_return_gap.n205_repriced_only,n_human,205
h2_return_gap.n205_repriced_only,model_mean_pct,1.796302
h2_return_gap.n205_repriced_only,human_mean_pct,-0.06494
h2_return_gap.n205_repriced_only,mean_difference_pp,1.861242
h2_return_gap.n205_repriced_only,ci_low_pp,0.672054
h2_return_gap.n205_repriced_only,ci_high_pp,3.03899
h2_return_gap.n205_repriced_only,n_clusters_model,56
h2_return_gap.n205_repriced_only,n_clusters_human,61
h2_return_gap.n205_repriced_only,permutation_p,0.012899
h2_return_gap.n205_repriced_only,n_permutations,20000
h2_return_gap.n223_with_fallback,n_model,168
h2_return_gap.n223_with_fallback,n_human,223
h2_return_gap.n223_with_fallback,model_mean_pct,1.796302
h2_return_gap.n223_with_fallback,human_mean_pct,-0.089161
h2_return_gap.n223_with_fallback,mean_difference_pp,1.885462
h2_return_gap.n223_with_fallback,ci_low_pp,0.731395
h2_return_gap.n223_with_fallback,ci_high_pp,3.066358
h2_return_gap.n223_with_fallback,n_clusters_model,56
h2_return_gap.n223_with_fallback,n_clusters_human,63
h2_return_gap.n223_with_fallback,permutation_p,0.0096
h2_return_gap.n223_with_fallback,n_permutations,20000
